"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039450",2018.53901911065,-0.00476664875139646,0.0992521747482356,-0.0480256353423752,0.961695812126649,0.985646591879674
"FBgn0039118",70.2539948138922,0.014755863030077,0.3085304075604,0.0478262844390412,0.961854688568063,0.985646591879674
"FBgn0040571",19.0098397155154,-0.0229276523652742,0.480930793777188,-0.0476734961910059,0.961976457053724,0.985646591879674
"FBgn0011509",1054.33286982313,-0.00519904469182369,0.109203463032786,-0.0476087895698215,0.962028026911022,0.985646591879674
"FBgn0026878",10.646157047318,-0.0316096559102227,0.664015686059627,-0.047603778907392,0.962032020313409,NA
"FBgn0019936",22050.0026294958,-0.00517356558038303,0.109126238610346,-0.0474089975634195,0.962187258066679,0.985646591879674
"FBgn0034796",484.610200546434,0.00588530446439892,0.124914811330518,0.0471145447182138,0.962421935202266,0.985646591879674
"FBgn0266667",519.259470786259,-0.00587252760064565,0.124695586255409,-0.0470949115120818,0.962437582864734,0.985646591879674
"FBgn0035626",148.092115037432,-0.0124001643922787,0.264832178969421,-0.0468227253973939,0.962654516647069,0.985646591879674
"FBgn0259227",5052.8404224434,0.00540289247991194,0.115866132537904,0.0466304722662979,0.962807745082989,0.985646591879674
"FBgn0264835",15.2803527669913,0.0281864446036088,0.60645780401068,0.0464771735431612,0.962929927295274,0.985646591879674
"FBgn0086444",1024.27269683796,-0.00528414436009545,0.113778420174128,-0.0464424128231746,0.962957632420004,0.985646591879674
"FBgn0052808",46.0164754519634,0.0155883654298459,0.335691893480941,0.0464365262687849,0.962962324148991,0.985646591879674
"FBgn0000617",1188.82057722377,-0.00516371571140447,0.111290319065609,-0.0463986064085261,0.962992547243298,0.985646591879674
"FBgn0022724",398.074695512003,0.00662422958404859,0.143050082569828,0.0463070657845658,0.963065507670844,0.985646591879674
"FBgn0034939",781.505252137821,0.00541260774528455,0.118526349023829,0.0456658607125103,0.963576574612966,0.985946125059177
"FBgn0037533",6338.756723107,-0.00386700802895483,0.0850460770220768,-0.0454695638453848,0.963733034330215,0.985946125059177
"FBgn0267643",50.6693597718287,-0.0206489322394107,0.455114298078073,-0.0453708712879605,0.963811698414303,0.985946125059177
"FBgn0041585",1773.65842326624,-0.00434857413781962,0.0958968443017746,-0.0453463736943756,0.963831224569065,0.985946125059177
"FBgn0030582",1405.9597971752,-0.00532054383398274,0.118641271706856,-0.0448456406226744,0.964230345709166,0.986111991386812
"FBgn0259163",150.482596967915,0.00863277380771877,0.192969749836964,0.044736409800046,0.964317411914566,0.986111991386812
"FBgn0000259",3157.3644795566,0.00512620423165087,0.115312448350324,0.0444549075575712,0.964541794972498,0.986111991386812
"FBgn0039704",13.3698733253106,-0.0255090118089528,0.574246522057249,-0.0444217088465183,0.964568257569898,0.986111991386812
"FBgn0032870",746.819741805142,0.00498479320993978,0.113361726330496,0.0439724532370567,0.964926361753547,0.986111991386812
"FBgn0051388",178.774942825254,-0.00884323434469895,0.20209166657017,-0.0437585304470159,0.965096883308455,0.986111991386812
"FBgn0000473",24.4311183786252,-0.0201786495689611,0.461671849477154,-0.0437077755375675,0.965137341158966,0.986111991386812
"FBgn0039170",26.8453367096976,-0.0206271347889661,0.473319059668658,-0.0435797679548462,0.965239379206569,0.986111991386812
"FBgn0029914",504.133870622114,0.0054572866109694,0.125242789654242,0.0435736590188973,0.965244248806535,0.986111991386812
"FBgn0034687",14.4884848994867,0.0236300322169946,0.543455928806707,0.0434810459587408,0.96531807336907,0.986111991386812
"FBgn0033871",100.54905344138,-0.0107826066366898,0.248807126364873,-0.0433372098067529,0.965432729936334,0.986111991386812
"FBgn0051174",12.3509105889554,-0.0281753273851431,0.650383591588265,-0.0433210919671847,0.965445578045398,0.986111991386812
"FBgn0052944",38.2993614416667,0.0158946195806553,0.367898695755626,0.0432037943162841,0.965539080487652,0.986111991386812
"FBgn0032249",140.912675745815,-0.00885836598041986,0.205695120327805,-0.0430655134954235,0.965649310025421,0.986111991386812
"FBgn0033209",528.0866441936,0.00533578889867255,0.125020579301191,0.0426792847105428,0.965957192926899,0.98630558694814
"FBgn0085408",48.3137437615967,-0.0139579691940678,0.328854185935853,-0.042444249734411,0.966144553925693,0.986376089404666
"FBgn0261403",2611.33406888748,-0.00577361003735131,0.13771262612722,-0.0419250594496515,0.966558439405558,0.986677814292168
"FBgn0266410",6005.10054388756,-0.012289185306582,0.294870214482291,-0.04167659093055,0.966756515474623,0.98672769217607
"FBgn0032052",1453.76104962411,-0.0045677900868603,0.10989024978387,-0.0415668368744646,0.96684401072164,0.98672769217607
"FBgn0035981",683.187843773674,-0.00476856087878054,0.117860330190499,-0.040459422360968,0.967726856799515,0.987507809686359
"FBgn0053100",1295.44753204296,0.00647526188971291,0.162193954923425,0.0399229545439595,0.968154550609744,0.987729647319475
"FBgn0039158",156.477149378745,0.00802864545898707,0.201272020355968,0.0398895258505762,0.968181201618658,0.987729647319475
"FBgn0264950",21.4475492231449,-0.0196976197481899,0.496909831150452,-0.0396402295011667,0.968379954126013,0.987801577861343
"FBgn0032295",1628.95102988369,-0.00404619264465715,0.102425249591983,-0.0395038592610261,0.968488676674897,0.987801577861343
"FBgn0037102",443.139975229866,-0.00598535589599978,0.152420205302155,-0.039268782535324,0.968676095338491,0.987808698987114
"FBgn0033995",323.773214061931,0.00746929345988698,0.190553533632207,0.0391978743060398,0.968732628393744,0.987808698987114
"FBgn0015222",14531.8584769185,0.0034420764658002,0.0888176092005942,0.0387544372876136,0.969086171298815,0.987930161056522
"FBgn0039427",957.832515725063,0.00426114218964212,0.109961524095855,0.0387512107046428,0.969088743807153,0.987930161056522
"FBgn0035047",348.351999980226,0.00543711050408193,0.141829434935503,0.0383355578237652,0.969420140569362,0.987953319181141
"FBgn0036099",1256.94049387091,-0.00468857815162023,0.122874028650971,-0.0381576009437955,0.969562025803312,0.987953319181141
"FBgn0004607",18.3295773046976,-0.0192221728239312,0.507219521001853,-0.0378971471483665,0.969769687662653,0.987953319181141
